site,name,labels,AP,P@10,RR,success@10
baidu,paper,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0.4870238095238094,0.3,1.0,1
bing,paper,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.9352777777777778,0.7,1.0,1
